x	y	z
8.09	15.78	-102.78
8.01	15.46	-102.78
6.44	15.55	167.34
5.13	13.94	-134.84
4.59	14.01	164.52
3.72	13.93	-179.5
2.75	14.13	179.59
1.61	14.37	158.17
1.61	14.37	-124.26
1.38	14.02	-124.26
3.0	10.22	-66.93
4.47	10.02	-6.57
4.47	10.02	-57.01
4.55	9.89	-57.01
4.39	6.21	-92.39
2.85	4.85	-139.24
2.83	4.34	-88.87
0.34	1.69	-135.78
0.31	1.07	-89.08
-0.33	0.69	-144.72
-0.33	0.69	-64.88
0.0	0.0	-64.88
