x	y	z
-12.9	11.65	103.17
-12.94	11.85	103.17
-11.37	12.61	34.37
-9.68	12.94	9.57
-7.5	11.54	-29.95
-4.58	13.67	47.55
-1.91	11.6	-36.87
0.89	13.51	47.46
3.08	12.05	-33.69
4.49	13.28	51.71
5.24	13.55	23.32
7.96	11.86	-28.71
7.96	11.86	-90.68
7.95	11.13	-90.68
9.34	10.28	-40.7
10.76	10.16	-13.65
12.16	10.76	9.4
12.63	11.13	39.29
15.59	9.41	-33.52
15.48	7.9	-104.56
16.27	5.57	-80.6
16.7	5.02	-53.95
15.97	3.35	-122.26
16.0	1.99	-98.83
17.09	-0.3	-73.22
17.26	-0.46	-44.32
19.98	-0.28	1.22
20.55	-2.32	-64.31
20.3	-4.99	-87.83
20.25	-5.12	-112.11
20.56	-7.67	-71.65
19.99	-9.68	-95.58
20.46	-11.68	-66.29
20.38	-13.55	-89.69
20.12	-13.71	-149.56
20.12	-13.71	41.57
20.19	-13.65	41.57
