x	y	z
-14.67	13.87	-49.43
-12.94	11.85	-49.43
-13.3	11.34	-141.8
-13.3	11.02	-90.39
-10.91	8.73	-39.17
-8.82	9.22	3.18
-7.37	10.42	29.67
-5.55	9.76	-28.84
-3.63	9.98	-4.73
-2.17	10.99	21.6
-1.87	11.36	49.94
1.76	8.44	-31.72
1.76	8.44	16.01
3.09	8.82	16.01
3.09	8.82	-24.9
3.2	8.77	-24.9
4.43	6.98	-47.42
4.88	4.59	-68.79
4.61	3.22	-93.89
5.11	0.82	-64.9
4.75	-1.25	-89.65
5.36	-3.22	-62.25
5.08	-6.25	-85.35
4.04	-8.39	-108.94
9.25	-11.73	-26.24
10.72	-10.6	46.58
13.21	-10.21	21.14
14.77	-10.65	-8.83
14.88	-13.29	-90.0
16.65	-14.19	-37.01
19.05	-14.14	-12.47
20.12	-13.71	16.43
20.12	-13.71	41.57
20.19	-13.65	41.57
