x	y	z
2.82	3.03	89.86
2.83	3.3	89.86
1.23	3.2	-172.23
0.89	3.39	153.5
0.48	5.73	114.37
1.16	7.67	83.66
1.72	8.43	56.19
-1.88	11.42	142.83
-3.39	10.32	-133.61
-5.17	9.56	-163.18
-6.68	10.58	161.29
-7.52	11.69	129.43
-9.98	8.77	-137.07
-10.16	8.78	179.44
-10.91	8.73	-171.87
-12.35	5.88	-119.48
-11.62	3.85	-58.81
-12.37	1.81	-110.32
-11.64	0.05	-57.21
-12.38	-2.39	-99.27
-11.16	-4.77	-57.73
-12.19	-6.5	-105.36
-9.42	-10.53	-60.12
-9.32	-10.6	-33.89
-9.32	-10.6	27.96
-4.16	-11.18	-4.74
-2.96	-11.96	-29.2
-0.98	-9.9	47.22
1.33	-9.89	12.5
3.3	-10.7	-14.2
5.6	-9.84	30.73
6.32	-9.72	6.71
9.25	-11.77	-34.92
10.79	-10.86	40.39
12.67	-10.75	13.55
14.58	-11.84	-14.73
14.79	-12.01	-44.21
14.88	-13.29	-83.48
16.65	-14.19	-37.01
19.05	-14.14	-12.47
20.01	-13.76	16.43
20.02	-13.71	77.77
20.02	-13.71	22.73
20.19	-13.65	22.73
