x	y	z
18.14	13.11	-122.02
17.67	12.36	-122.02
17.67	12.36	-31.24
17.8	11.91	-73.94
16.55	10.28	-117.02
15.63	9.95	-143.79
14.56	9.8	-173.88
12.68	10.38	176.16
11.34	9.71	-143.12
10.53	9.59	-166.85
10.13	9.6	179.29
8.91	9.75	-176.79
7.94	10.16	161.69
6.23	9.45	-147.94
5.43	9.38	-170.85
3.51	9.76	176.13
3.13	9.95	154.64
1.39	9.35	-150.43
0.31	9.26	-175.26
-0.55	9.36	177.28
-1.85	10.79	144.85
-5.17	9.56	-159.54
-6.68	10.58	161.29
-7.52	11.69	129.43
-10.7	8.54	-137.07
-11.38	6.67	-100.6
-12.12	5.85	-125.64
-11.31	3.05	-76.17
-12.2	1.81	-114.07
-11.64	0.05	-72.82
-12.38	-2.39	-99.27
-11.16	-4.77	-57.73
-12.19	-6.5	-105.36
-9.42	-10.53	-60.12
-9.32	-10.6	-33.89
-9.32	-10.6	27.96
-2.9	-10.8	-4.74
-2.37	-10.24	50.21
0.62	-9.78	19.6
3.3	-10.7	-6.46
3.3	-10.7	-87.59
3.31	-10.92	-87.59
6.57	-14.46	-41.99
8.93	-13.84	0.89
9.37	-13.58	29.99
10.79	-14.26	-35.11
13.19	-14.18	-12.5
14.88	-13.29	17.84
16.65	-14.19	-37.01
19.05	-14.14	-12.47
20.12	-13.71	16.43
20.12	-13.71	41.57
20.19	-13.65	41.57
