x	y	z
-8.0	17.6	49.4828766415
-7.29	17.51	-42.6498404798
-7.07	17.29	-44.6758915679
-6.39	16.89	-48.0940580589
-6.33	16.42	-90.0
-6.33	15.99	-90.0
-6.33	15.56	-90.0
-6.33	15.13	-90.0
-6.33	14.7	-90.0
-6.0	13.96	-18.4349488229
-5.66	13.95	-15.4786381654
-5.15	13.91	-4.83658344574
-4.72	13.65	-12.5754654997
-4.7	13.25	-100.885527055
-4.7	12.93	-86.9977274121
-4.7	12.61	-86.9977274121
-4.7	12.3	-86.9977274121
-4.7	11.98	-86.9977274121
-4.71	11.66	-86.9977274121
-4.41	11.17	-33.3407073465
-3.99	11.07	-24.2590844531
-3.59	11.08	-5.35582504286
-3.26	11.08	-1.31279849697
-2.93	11.07	2.74332448826
-2.63	10.42	-90.0
-2.61	10.1	-90.0
-2.63	9.72	-77.0472354866
-2.03	8.78	-22.7824057305
-1.62	8.2	-101.309932474
-1.63	7.85	-101.309932474
-1.63	7.51	-93.4336303625
-1.63	7.17	-92.9766994681
-1.63	6.84	-92.5193892912
-1.63	6.46	-92.0617576908
-1.3	6.03	-36.8698976458
-0.9	5.92	-26.5650511771
-0.5	5.93	-8.13010235416
-0.16	5.89	-2.45403167453
0.0	5.43	-90.0
0.0	5.03	-90.0
0.0	4.63	-90.0
0.0	4.23	-90.0
0.0	3.83	-90.0
0.0	3.43	-90.0
0.0	2.93	-90.0
0.0	1.73	-90.0
0.0	1.3	-90.0
0.0	0.86	-90.0
0.0	0.43	-90.0
0.0	0.0	-90.0
