x	y	z
-8.0	17.6	49.4828766415
-7.72	17.93	49.4828766415
-6.86	17.12	-42.6498404798
-6.33	16.87	-26.5650511771
-6.33	14.07	-90.0
-6.0	13.96	-18.4349488229
-5.83	13.95	-0.881403996582
-5.79	13.96	13.8286509723
-5.66	13.95	-4.83658344574
-5.58	13.96	10.0331205543
-5.48	13.95	-8.74616226256
-5.36	13.96	6.14662565965
-5.15	13.91	-12.5754654997
-4.72	13.65	-28.9797076979
-4.67	13.6	-46.5911402712
-4.7	13.34	-100.885527055
-4.71	11.66	-86.9977274121
-4.76	11.37	-100.885527055
-4.38	11.15	-33.3407073465
-4.18	11.09	-17.3540246363
-3.99	11.07	-5.35582504286
-3.92	11.08	7.1250163489
-3.79	11.08	-3.33847054376
-3.75	11.08	9.11355274807
-3.59	11.08	-1.31279849697
-3.59	11.08	11.0801992243
-3.42	11.08	0.71615994547
-3.4	11.08	-9.69444428519
-3.26	11.08	2.74332448826
-3.2	11.07	-7.71189241266
-3.09	11.08	4.76364169073
-2.93	11.07	-5.7105931375
-2.63	10.96	-15.8191939475
-2.63	10.19	-90.0
-2.61	10.1	-77.0472354866
-2.63	9.96	-98.7174569646
-2.61	9.81	-81.2825430354
-2.63	9.72	-102.952764513
-2.62	9.52	-85.6158997376
-2.63	9.5	-107.049030972
-2.63	8.95	-90.0
-2.43	8.87	-22.7824057305
-2.03	8.78	-12.5288077092
-1.55	8.54	-26.4150625681
-1.63	8.03	-101.309932474
-1.63	6.46	-85.881810296
-1.66	6.25	-99.0902769208
-1.3	6.03	-36.8698976458
-0.9	5.92	-14.0362434679
-0.82	5.93	8.13010235416
-0.7	5.92	-5.30510960621
-0.65	5.93	10.9158824317
-0.5	5.93	-2.45403167453
-0.49	5.93	13.6504191348
-0.32	5.93	0.409248608035
-0.16	5.89	-12.8750015596
0.0	5.83	-24.9047688081
0.0	1.73	-90.0
0.0	1.73	-90.0
0.0	1.73	-90.0
0.0	0.0	-90.0
