x	y	z
-8.0	17.6	49.48
-7.72	17.93	49.48
-6.86	17.12	-42.65
-6.33	16.87	-26.57
-6.33	14.07	-90.0
-6.51	14.0	-151.93
-6.68	13.95	-166.17
-6.84	13.96	179.12
-6.86	13.96	164.52
-7.02	13.95	-176.92
-7.07	13.96	168.27
-7.29	13.94	-172.98
-7.72	13.71	-155.59
-7.82	13.61	-136.04
-7.77	13.34	-76.5
-7.71	11.33	-90.83
-7.16	10.9	-35.31
-7.16	10.2	-93.47
-7.15	9.93	-79.03
-7.15	9.88	-96.06
-7.13	8.95	-84.38
-6.87	8.81	-30.96
-6.56	8.71	-19.43
-6.25	8.68	-8.62
-6.0	8.68	6.05
-5.63	8.68	-5.62
-5.4	8.68	6.91
-5.0	8.62	-4.76
-4.77	8.52	-22.62
-4.7	8.03	-79.11
-4.7	7.18	-93.96
-4.66	6.27	-83.1
-4.35	6.11	-30.96
-4.15	6.06	-14.74
-3.95	6.05	-3.01
-3.92	6.06	8.97
-3.75	6.05	-1.21
-3.75	6.05	10.73
-3.57	6.06	0.6
-3.24	5.97	-9.56
-3.13	5.92	-27.76
-3.11	5.06	-90.0
-3.12	5.03	-103.53
-3.13	4.83	-91.72
-3.11	4.74	-79.77
-3.13	4.63	-98.55
-3.11	4.12	-86.56
-3.13	4.03	-100.23
-3.12	3.83	-88.28
-3.11	3.8	-76.47
-3.13	3.63	-95.16
-3.11	3.49	-83.14
-3.13	3.43	-101.89
-3.07	1.76	-90.0
-3.07	1.76	-29.77
0.0	0.0	-29.77
