x	y	z
10.00	6.00	-2.30
9.46	5.39	-1.57
9.45	4.39	-1.57
9.45	3.39	-2.05
9.00	2.53	3.05
8.28	2.59	2.79
7.37	2.93	2.95
6.40	3.11	-2.95
5.45	2.92	-2.99
4.48	2.78	-2.42
3.73	2.12	-2.71
2.87	1.73	-3.12
1.87	1.70	3.14
0.87	1.70	3.12
-0.12	1.72	-3.12
-1.12	1.70	3.14
-2.12	1.70	3.08
-3.12	1.76	2.55
-3.91	2.29	2.50
-4.71	2.88	3.10
-5.70	2.92	2.51
-6.38	3.41	1.57
-6.38	4.41	1.57
-6.38	5.41	2.46
-7.02	5.93	2.62
-7.81	6.39	1.54
-7.78	7.38	1.51
-7.72	8.38	2.41
-8.40	8.99	2.58
-9.24	9.52	2.58
-10.00	10.00	2.58
