x	y	z
328.95	517.94	-92.8782431019
327.68	492.68	-73.7286276124
328.83	488.74	-101.128257999
326.92	479.03	-81.7553389706
328.34	469.23	-109.052907074
327.0	465.35	-90.0
327.0	447.91	-156.209665139
315.25	442.73	-178.290752534
300.17	442.28	-156.02195737
286.5	436.2	-139.429559299
284.97	434.89	-93.6607353204
284.24	423.48	-77.3164532674
285.21	419.17	-94.1756902469
284.55	410.13	-77.576057476
285.57	405.5	-94.5895901144
284.87	396.78	-77.9131479698
285.93	391.83	-95.0847639749
283.75	367.33	-158.21162413
276.17	364.3	-172.33503941
270.3	363.51	-166.511587928
249.58	358.54	-115.657885657
246.4	351.92	-95.1997110852
244.62	332.36	-72.9209111532
246.19	327.25	-95.2447603854
244.4	307.75	-116.161566442
242.44	303.76	-52.6936902754
248.01	296.45	-34.6457296433
261.28	287.28	-39.8055710923
261.46	287.13	-10.7856282546
281.25	283.36	-46.9695587941
295.43	268.17	-33.042510939
299.75	265.36	-49.8207660781
303.93	260.41	-97.0414774669
303.2	254.5	-86.0772871095
