x	y	z
171.62	548.19	-91.2314018896
171.39	537.49	-75.0314420884
172.16	534.61	-91.6412638129
171.86	524.14	-75.2916961003
172.7	520.94	-92.0897472591
172.33	510.8	-75.6577739696
173.23	507.28	-92.4930450765
172.92	500.16	-145.095398979
160.15	491.25	-171.275780801
142.49	488.54	-132.499983529
124.31	468.7	-147.528807709
124.2	468.63	-94.2404071085
123.81	463.37	-84.5952895986
124.6	455.02	-97.0165017447
124.36	453.07	-87.7860595085
124.66	445.31	-137.004007092
121.85	442.69	-126.696537269
117.11	436.33	-143.342368449
111.48	432.14	-126.878635755
103.61	421.65	-97.8664257501
102.18	411.3	-63.8475125621
104.37	406.84	-109.629044827
102.28	400.98	-75.2218382671
104.43	392.83	-119.97394866
103.19	390.68	-87.7227062988
103.6	380.37	-55.9678721827
104.64	378.83	-100.316318243
103.04	370.04	-66.0947547461
107.57	359.82	-42.6310546576
118.52	349.74	-29.8865269404
119.39	349.24	-46.3450113109
128.54	339.65	-37.3395246655
133.39	335.95	-47.94404635
136.71	332.27	-131.325500479
135.69	331.11	-141.104684877
133.62	329.44	-133.17769466
123.73	318.9	-122.421591703
117.08	308.43	-108.120048953
113.68	298.04	-90.9437404685
113.51	287.72	-73.2347974918
114.23	285.33	-96.1817414322
113.37	277.39	-78.1595662093
114.5	272.0	-101.488981202
113.5	267.08	-83.2862103961
114.49	258.67	-106.699244234
113.92	256.77	-88.6677801461
114.16	246.45	-70.7575928313
117.65	236.21	-59.8781782235
120.11	231.97	-17.499756559
124.36	230.63	-3.10903382363
134.67	230.07	11.8420761153
139.63	231.11	-7.38996604192
144.95	230.42	7.30935941893
152.98	231.45	-11.5545756479
155.23	230.99	2.94848906406
165.52	231.52	17.1524217402
166.33	231.77	-1.38981482699
175.81	231.54	12.9660362729
186.06	233.9	25.932473637
196.26	238.86	36.5944392897
197.93	240.1	-46.1521620272
206.7	230.97	-31.0447055874
217.1	224.71	-8.81290163774
227.42	223.11	16.6795549635
232.76	224.71	-17.9832631326
237.72	223.1	7.87261491884
246.76	224.35	-26.9335077024
248.0	223.72	-1.72391568058
258.3	223.41	24.1988031856
260.77	224.52	-11.6893691754
268.6	222.9	15.8122877213
278.84	225.8	38.1048356166
288.99	233.76	52.2205185893
294.47	240.83	37.8492173002
299.09	244.42	47.2167943407
