x	y	z
8.05	15.75	-80.537677792
8.06	15.69	0.0
8.15	15.69	-11.309932474
8.2	15.68	14.0362434679
8.24	15.69	-6.34019174591
8.33	15.68	0.0
8.42	15.68	-6.34019174591
8.59	15.66	0.0
9.39	15.66	-50.1944289077
9.59	15.43	-56.309932474
9.87	14.99	-66.0375110254
9.94	14.82	-71.5650511771
9.97	14.73	-77.4711922908
10.0	14.57	-63.4349488229
10.01	14.55	-69.4439547804
10.04	14.47	-63.4349488229
10.08	14.38	-71.5650511771
10.14	14.2	-90.0
10.14	14.17	-68.1985905136
10.19	14.03	-77.4711922908
10.21	13.94	-83.6598082541
10.22	13.85	-90.0
10.22	13.68	-96.3401917459
10.2	13.51	-104.036243468
10.18	13.42	-96.3401917459
10.17	13.33	0.0
10.17	13.33	-96.3401917459
10.14	13.1	-108.434948823
10.13	13.07	-96.3401917459
10.12	12.98	-108.434948823
10.11	12.95	-101.309932474
10.09	12.81	-116.565051177
10.08	12.79	-90.0
10.08	12.72	-102.528807709
10.06	12.63	0.0
10.06	12.63	-97.1250163489
10.04	12.5	-90.0
10.04	12.46	-96.3401917459
10.03	12.37	-104.036243468
9.93	12.02	-123.690067526
9.91	11.99	-111.801409486
9.81	11.76	-126.869897646
9.75	11.68	-119.054604099
9.7	11.59	-127.874983651
9.41	11.24	-135.0
9.32	11.15	-153.434948823
9.3	11.14	-130.601294645
9.15	10.98	-143.130102354
9.11	10.95	-129.805571092
9.06	10.89	-135.0
9.02	10.85	-141.340191746
8.97	10.81	-135.0
8.92	10.76	-126.869897646
8.89	10.72	-135.0
8.54	10.38	-90.0
8.54	10.37	-138.366460663
8.45	10.29	0.0
8.45	10.29	-90.0
8.45	10.2	0.0
8.45	10.2	-60.9453959009
8.64	9.85	-66.0375110254
8.76	9.59	-90.0
8.76	9.56	-63.4349488229
8.83	9.41	-71.5650511771
8.89	9.24	-77.4711922908
8.91	9.15	-71.5650511771
8.96	8.98	-77.4711922908
9.0	8.8	-83.6598082541
9.05	8.36	-90.0
9.05	7.49	0.0
9.05	7.49	-90.0
9.05	7.4	0.0
9.05	7.4	-90.0
9.05	6.44	-97.1250163489
9.04	6.36	-90.0
9.04	6.35	-138.814074834
8.77	6.12	-146.309932474
8.49	5.93	-153.434948823
8.14	5.76	-161.565051177
8.11	5.75	-156.037511025
8.02	5.71	-163.300755766
7.83	5.65	-168.690067526
7.64	5.62	-174.289406863
7.45	5.6	180.0
7.35	5.6	-173.659808254
6.97	5.55	-161.565051177
6.78	5.49	-156.037511025
6.69	5.45	-161.565051177
6.59	5.41	-156.037511025
6.5	5.37	180.0
6.49	5.37	-91.7098140441
6.47	4.7	-78.690067526
6.48	4.65	-104.036243468
6.47	4.61	-78.690067526
6.48	4.56	-101.309932474
6.47	4.51	-78.690067526
6.48	4.46	-104.036243468
6.47	4.42	-78.690067526
6.48	4.37	-101.309932474
6.47	4.32	-78.690067526
6.48	4.27	-104.036243468
6.47	4.23	-78.690067526
6.48	4.18	-101.309932474
6.47	4.13	-78.690067526
6.48	4.08	-104.036243468
6.47	4.04	-78.690067526
6.48	3.99	-101.309932474
6.47	3.94	-78.690067526
6.48	3.89	-104.036243468
6.47	3.85	-78.690067526
6.48	3.8	-104.036243468
6.47	3.76	-78.690067526
6.48	3.71	-101.309932474
6.47	3.66	-78.690067526
6.48	3.61	-104.036243468
6.47	3.57	-78.690067526
6.48	3.52	-101.309932474
6.47	3.47	-78.690067526
6.48	3.42	-104.036243468
6.47	3.38	-78.690067526
6.48	3.33	-101.309932474
6.47	3.28	-78.690067526
6.48	3.23	-104.036243468
6.47	3.19	-78.690067526
6.48	3.14	-101.309932474
6.47	3.09	-78.690067526
6.48	3.04	-104.036243468
6.47	3.0	-78.690067526
6.48	2.95	-91.7098140441
6.46	2.28	-168.690067526
5.74	2.13	180.0
5.71	2.13	-161.565051177
5.65	2.11	-167.471192291
5.56	2.09	-174.289406863
5.37	2.07	180.0
5.32	2.07	-165.963756532
5.1	2.02	-174.289406863
5.0	2.01	180.0
4.91	2.01	173.659808254
4.63	2.04	161.565051177
4.36	2.13	180.0
4.13	2.13	-170.537677792
4.07	2.12	161.565051177
4.04	2.13	-174.289406863
3.75	2.1	-167.691984183
2.65	1.86	-121.607502246
2.18	1.07	-127.874983651
2.05	0.89	-135.0
2.03	0.87	180.0
2.02	0.87	-171.869897646
1.95	0.86	-86.8550425353
