x	y	z
-4.75	13.6	-73.4742036101
-4.48	12.69	-156.037511025
-4.67	12.61	-135.0
-4.6899999999999995	12.59	-156.801409486
-4.859999999999999	12.51	-142.125016349
-4.95	12.44	-153.434948823
-4.99	12.42	-98.1301023542
-5.0	12.35	-90.0
-5.0	12.26	-96.3401917459
-5.01	12.17	-83.6598082541
-5.0	12.08	-90.0
-5.0	11.9	-75.9637565321
-4.99	11.86	-90.0
-4.99	11.72	-80.537677792
-4.98	11.66	-90.0
-4.98	11.54	-81.8698976458
-4.970000000000001	11.47	-90.0
-4.970000000000001	11.27	-83.6598082541
-4.96	11.18	0.0
-4.96	11.18	-90.0
-4.96	11.08	-82.8749836511
-4.95	11.0	-90.0
-4.95	10.82	-71.5650511771
-4.9399999999999995	10.79	-90.0
-4.9399999999999995	10.64	-75.9637565321
-4.93	10.6	-90.0
-4.93	10.47	-77.4711922908
-4.91	10.38	-83.6598082541
-4.9	10.29	-71.5650511771
-4.84	10.11	-63.4349488229
-4.71	9.85	-57.9946167919
-4.66	9.77	0.0
-4.66	9.77	-63.4349488229
-4.59	9.61	-26.5650511771
-4.41	9.52	-82.8749836511
-4.34	8.69	-90.0
-4.34	8.64	-81.8698976458
-4.33	8.57	-90.0
-4.33	8.55	-84.2894068625
-4.32	8.45	0.0
-4.32	8.45	-83.6598082541
-4.3100000000000005	8.36	-90.0
-4.3100000000000005	8.27	-80.537677792
-4.3	8.21	-90.0
-4.3	8.17	-77.4711922908
-4.26	7.99	-71.5650511771
-4.23	7.9	-60.9453959009
-4.07	7.64	-90.0
-4.07	7.63	-57.9946167919
-3.8	7.19	-109.983106522
-3.88	6.97	-64.7988763545
-3.8	6.8	-75.9637565321
-3.78	6.72	-56.309932474
-3.76	6.69	-70.0168934781
-3.72	6.58	0.0
-3.71	6.58	-68.1985905136
-3.67	6.48	0.0
-3.67	6.48	-70.0168934781
-3.6	6.26	-79.6951535312
-3.58	6.15	-86.1859251657
-3.56	5.91	-73.300755766
-3.5	5.71	-63.4349488229
-3.35	5.42	-54.462322208
-3.3	5.35	-116.565051177
-3.3899999999999997	5.13	-108.434948823
-3.42	5.04	-101.309932474
-3.44	4.94	-95.7105931375
-3.45	4.84	-90.0
-3.4699999999999998	4.45	-108.434948823
-3.51	4.33	-90.0
-3.51	4.31	-101.309932474
-3.67	3.67	-138.814074834
-3.75	3.6	-145.561010691
-4.1	3.36	-99.462322208
-4.15	3.0	-90.0
-4.15	2.66	-95.7105931375
-4.16	2.56	0.0
-4.16	2.56	-66.0375110254
-4.12	2.47	-73.300755766
-4.04	2.18	-78.690067526
-4.02	2.08	-84.2894068625
-4.0	1.89	-90.0
-4.0	1.38	-84.2894068625
-3.98	1.19	-75.9637565321
-3.97	1.15	-99.462322208
-3.98	1.09	-83.6598082541
-3.97	1.0	-90.0
-3.97	0.9	-77.4711922908
-3.95	0.81	-84.2894068625
-3.94	0.71	-71.5650511771
-3.91	0.62	-90.0
-3.91	0.6	-7.90716270296
-3.12	0.49	0.0
-2.92	0.49	9.46232220803
-2.8600000000000003	0.5	0.0
-2.8200000000000003	0.5	9.46232220803
-2.76	0.51	0.0
-2.62	0.51	11.309932474
-2.5700000000000003	0.52	0.0
-2.48	0.52	6.34019174591
-2.39	0.53	-5.7105931375
-2.2	0.51	-16.699244234
-2.01	0.45	-21.8014094864
-1.82	0.37	-30.9637565321
-1.72	0.31	-37.8749836511
-1.45	0.09	0.0
-1.44	0.09	-128.157226587

