x	y	z
8.96	15.06	-140.53
8.98	14.72	-77.1
9.01	14.38	-77.1
9.04	14.04	-77.1
9.35	13.69	-46.6
9.66	13.33	-46.6
9.97	12.97	-46.6
10.28	12.62	-46.6
10.34	12.35	-71.11
10.28	11.94	-97.73
10.21	11.53	-97.73
10.15	11.13	-97.73
10.09	10.72	-97.73
9.81	10.46	-131.23
9.54	10.19	-131.23
9.26	9.92	-131.23
8.98	9.65	-131.23
9.07	9.29	-66.97
9.16	8.93	-66.97
9.24	8.57	-66.97
9.2	8.08	-89.44
9.16	7.6	-89.44
9.12	7.12	-89.44
9.07	6.63	-89.44
9.03	6.15	-89.44
8.99	5.66	-89.44
8.95	5.18	-89.44
8.8	4.9	-113.95
8.65	4.62	-113.95
8.29	4.6	-176.58
7.93	4.58	-176.58
7.53	4.6	177.85
7.12	4.63	177.85
6.86	4.27	-135.0
6.6	3.91	-135.0
6.33	3.55	-135.0
6.07	3.19	-135.0
5.81	2.83	-135.0
5.54	2.47	-135.0
5.28	2.11	-135.0
4.94	2.07	-170.44
4.61	2.02	-170.44
4.53	2.02	179.44
4.21	1.73	-138.96
3.89	1.43	-138.96
3.57	1.14	-138.96
3.25	0.84	-138.96
2.93	0.54	-138.96
2.61	0.25	-138.96
2.61	0.25	-178.68
2.39	0.25	179.78
2.08	0.27	-177.12
1.77	0.29	-177.12
1.43	0.46	166.37
1.1	0.63	166.37
0.76	0.81	166.37
0.42	0.98	166.37
0.31	1.07	140.2
-0.04	0.87	-144.0
-0.39	0.66	-144.0
-0.39	0.66	-59.47
-0.2	0.33	-59.47
0.0	0.0	-59.47
