x	y	z
-2.8	15.49	11.52
-2.8	15.11	-82.68
-2.79	14.74	-82.68
-2.79	14.36	-82.68
-2.79	14.36	-135.0
-3.01	14.14	-135.0
-3.23	13.92	-135.0
-3.21	13.52	-92.39
-3.2	13.11	-92.39
-3.18	12.7	-92.39
-3.17	12.29	-92.39
-2.88	11.97	-46.48
-2.6	11.64	-46.48
-2.31	11.32	-46.48
-2.02	11.0	-46.48
-1.73	10.67	-46.48
-1.44	10.35	-46.48
-1.38	10.35	1.14
-0.96	10.14	-37.64
-0.55	9.93	-37.64
-0.14	9.72	-37.64
0.28	9.5	-37.64
0.28	9.06	-88.49
0.28	8.61	-88.49
0.28	8.17	-88.49
0.28	7.72	-88.49
0.28	7.28	-88.49
0.27	6.83	-88.49
0.27	6.38	-88.49
0.27	5.94	-88.49
-0.11	5.7	-149.65
-0.49	5.47	-149.65
-0.87	5.24	-149.65
-1.25	5.0	-149.65
-1.62	4.77	-149.65
-1.4	4.42	-46.0
-1.17	4.07	-46.0
-0.95	3.72	-46.0
-0.79	3.37	-74.29
-0.63	3.03	-74.29
-0.47	2.69	-74.29
-0.32	2.35	-74.29
0.01	2.02	-47.26
0.34	1.69	-47.26
0.33	1.38	-89.81
0.31	1.07	-89.81
-0.04	0.87	-144.0
-0.39	0.66	-144.0
-0.39	0.66	-59.47
-0.2	0.33	-59.47
0.0	0.0	-59.47
