x	y	z
8.54	15.6	-118.946401251
8.24	15.05	-118.946401251
7.91	15.23	148.571876587
7.4	15.43	152.670956053
6.89	15.53	160.524012806
6.55	15.55	170.733855338
6.25	15.55	-178.48830391
5.95	15.55	-179.442700612
5.65	15.45	179.604986782
5.4	15.19	-133.646808046
5.04	14.71	-131.722324048
4.57	14.1	-126.869897646
4.54	13.6	-63.4349488229
4.63	13.3	-66.8014094864
4.7	12.85	-75.5792268725
4.78	12.55	-81.8698976458
4.71	12.15	-110.376435214
4.58	11.5	-106.389540334
4.48	11.2	-101.976132444
4.34	10.9	-111.501434324
4.34	10.9	-111.501434324
3.86	9.84	-53.9149269571
3.75	8.51	-94.5739212599
3.75	8.16	-94.5739212599
3.75	7.8	-90.9270689743
3.75	7.45	-91.7391738683
3.75	7.13	-92.5505803969
3.75	6.74	-88.8958907567
3.23	5.82	-140.527540152
2.58	5.25	-140.527540152
2.24	4.85	-138.691385986
2.15	4.42	-88.4448404949
1.9	4.06	-134.144902604
1.61	3.81	-137.726310994
1.03	3.18	-135.285051278
0.45	2.5	-132.61405597
0.18	2.23	-130.236358309
-0.08	1.97	-134.232608137
-0.37	1.69	-135.270336115
-0.01	0.78	-38.2313662132
0.25	0.63	-111.303359737
0.0	0.0	-111.303359737
