x	y	z
-8.0	17.6	-24.4052849688
-7.67	17.45	-24.4052849688
-7.33	17.3	-24.4052849688
-7.0	17.14	-24.4052849688
-6.66	16.99	-24.4052849688
-6.33	16.84	-24.4052849688
-6.33	16.39	-90.0
-6.33	16.03	-90.0
-6.33	15.68	-90.0
-6.33	15.32	-90.0
-6.33	14.97	-90.0
-6.33	14.61	-90.0
-6.01	13.96	-23.6764296272
-5.67	13.93	-16.2439058904
-5.31	13.92	-0.527207925139
-4.96	13.8	-5.91107742629
-4.69	13.61	-26.449185249
-4.68	13.27	-97.3523793599
-4.69	12.96	-90.0
-4.7	12.62	-92.4562220476
-4.71	12.29	-92.4562220476
-4.72	11.96	-92.4562220476
-4.46	11.22	-35.2175929682
-4.11	11.12	-25.6195645773
-3.8	11.1	-10.0790196784
-3.46	11.1	0.314294424239
-3.12	11.09	0.62811435023
-2.78	11.01	-3.47523277673
-2.58	10.52	-84.559667969
-2.59	10.19	-84.559667969
-2.61	9.82	-93.3774727293
-2.11	8.83	-22.619864948
-1.79	8.71	-14.0362434679
-1.59	8.12	-97.5946433686
-1.61	7.79	-97.5946433686
-1.62	7.45	-92.5730217849
-1.63	7.11	-92.7241641465
-1.64	6.77	-92.8753679019
-1.42	6.1	-39.212757036
-1.08	5.95	-29.291362171
-0.77	5.91	-19.6538240581
-0.44	5.91	0.507029060916
-0.11	5.84	1.23345060483
0.03	5.45	-86.9872124958
0.02	5.12	-86.9872124958
0.01	4.78	-92.1397261406
-0.0	4.44	-92.1397261406
-0.01	4.09	-92.1397261406
-0.02	3.75	-92.1397261406
-0.03	3.41	-92.1397261406
0.06	1.75	-92.0279795781
0.05	1.31	-92.0279795781
0.03	0.88	-92.0279795781
0.02	0.44	-92.0279795781
0.0	0.0	-92.0279795781
