x	y	z
-2.42	17.64	52.721479587
-2.8	17.56	136.091874218
-3.16	17.04	-132.847037211
-3.2	16.39	-90.0
-3.2	16.03	-90.0
-3.2	15.68	-90.0
-3.2	15.32	-90.0
-3.2	14.97	-90.0
-3.2	14.61	-90.0
-2.88	13.88	-23.6293777307
-2.55	13.83	-18.1859929368
-2.24	13.81	-1.65685394752
-1.93	13.7	-8.57706989688
-1.63	13.27	-80.2175929682
-1.63	12.95	-85.3404242189
-1.63	12.62	-90.5388158979
-1.63	12.29	-90.5388158979
-1.63	11.96	-90.5388158979
-1.87	11.22	-145.528416492
-2.51	10.99	-156.93743192
-2.58	10.52	-84.559667969
-2.59	10.19	-84.559667969
-2.61	9.82	-93.3774727293
-2.11	8.83	-22.619864948
-1.79	8.71	-14.0362434679
-1.59	8.12	-97.5946433686
-1.61	7.79	-97.5946433686
-1.62	7.45	-92.5730217849
-1.63	7.11	-92.7241641465
-1.64	6.77	-92.8753679019
-1.42	6.1	-39.212757036
-1.08	5.95	-29.291362171
-0.77	5.91	-19.6538240581
-0.44	5.91	0.507029060916
-0.11	5.84	1.23345060483
0.03	5.45	-86.9872124958
0.02	5.12	-86.9872124958
0.01	4.78	-92.1397261406
-0.0	4.44	-92.1397261406
-0.01	4.09	-92.1397261406
-0.02	3.75	-92.1397261406
-0.03	3.41	-92.1397261406
-0.03	3.41	-92.1397261406
0.06	1.75	-92.0279795781
0.05	1.31	-92.0279795781
0.03	0.88	-92.0279795781
0.02	0.44	-92.0279795781
0.0	0.0	-92.0279795781
