x	y	z
1.98	15.67	147.48
1.73	15.31	-128.32
1.47	14.95	-128.32
1.47	14.95	-76.72
1.54	14.66	-76.72
1.61	14.37	-76.72
2.05	14.31	-2.68
2.49	14.26	-2.68
2.93	14.21	-2.68
3.37	14.15	-2.68
3.81	14.1	-2.68
4.25	14.05	-2.68
4.69	13.99	-2.68
5.13	13.94	-2.68
5.24	13.55	-64.41
5.35	13.16	-64.41
5.4	12.85	-90.0
5.44	12.54	-90.0
5.48	12.45	-68.36
5.41	12.18	-112.29
5.35	11.91	-112.29
5.3	11.56	-90.0
5.25	11.22	-90.0
4.99	10.82	-112.29
4.73	10.42	-112.29
4.47	10.02	-112.29
4.47	10.02	-57.01
4.55	9.89	-57.01
4.53	9.43	-92.39
4.51	8.97	-92.39
4.49	8.51	-92.39
4.47	8.05	-92.39
4.45	7.59	-92.39
4.43	7.13	-92.39
4.41	6.67	-92.39
4.39	6.21	-92.39
4.08	5.94	-139.24
3.78	5.67	-139.24
3.47	5.4	-139.24
3.16	5.12	-139.24
2.85	4.85	-139.24
2.84	4.59	-89.19
2.83	4.34	-89.19
2.52	4.01	-136.38
2.21	3.68	-136.38
1.9	3.34	-136.38
1.59	3.01	-136.38
1.28	2.68	-136.38
0.96	2.35	-136.38
0.65	2.02	-136.38
0.34	1.69	-136.38
0.33	1.38	-89.81
0.31	1.07	-89.81
-0.04	0.87	-144.0
-0.39	0.66	-144.0
-0.39	0.66	-59.47
-0.2	0.33	-59.47
0.0	0.0	-59.47
