x	y	z
-7.88	15.85	-61.8834014178
-7.37	15.86	6.38782794885
-6.95	15.75	-3.02160630964
-6.63	15.1	-71.5650511771
-6.63	14.74	-78.9964591483
-6.4	14.3	-90.0
-6.48	13.83	-125.537677792
-6.62	13.53	-120.129042644
-6.69	13.18	-112.166345822
-6.73	12.83	-100.885527055
-6.83	12.53	-100.530927853
-6.98	12.22	-113.757699531
-7.28	11.78	-120.824857945
-7.4	10.9	-76.6440455065
-6.92	10.4	-19.8902397068
-6.57	10.33	-15.9453959009
-6.16	10.1	-39.4304490191
-5.93	9.87	-44.1910434549
-5.65	9.55	-47.2679545359
-5.25	9.15	-49.398705355
-4.66	8.51	-45.0
-4.5	8.0	-91.3484341104
-4.5	7.65	-89.7209643188
-4.5	7.3	-89.9069874526
-4.5	6.95	-90.0930125474
-4.5	6.58	-90.2790356812
-4.26	6.15	-43.2188721488
-3.99	5.96	-38.2695160654
-3.72	5.83	-31.29694526
-3.03	5.52	-23.1217129565
-2.76	5.39	-24.9047688081
-2.49	5.21	-27.9794743885
-2.23	5.0	-35.224589217
-2.02	4.68	-85.3893506813
-1.34	4.31	-28.810793743
-1.0	3.7	-28.810793743
-0.74	3.16	-66.8014094864
-0.6	2.86	-64.2900462192
-0.41	2.59	-59.7827260426
-0.17	2.32	-52.234151035
0.05	2.1	-45.9601745667
-0.11	0.63	-79.9188967144
0.0	0.0	-79.9188967144
