x	y	z
0.65	15.73	-53.3190918111
0.92	15.37	-53.3190918111
1.18	15.01	-53.3190918111
1.45	14.66	-53.3190918111
0.99	14.23	-145.491477012
0.71	14.06	-146.611486424
0.26	13.65	-122.378179743
-0.19	13.08	-125.173707381
-0.38	12.79	-128.418055345
-0.52	12.52	-120.818262229
-0.61	12.22	-111.801409486
-0.68	11.88	-103.843491362
-0.78	11.55	-100.124671655
-0.9	11.27	-112.386996
-1.14	10.85	-116.768407127
-1.47	10.4	-119.53878226
-1.23	10.1	-33.9360410271
-0.84	9.91	-29.3815206796
-0.01	9.01	-88.6360724684
0.02	8.56	-88.6360724684
0.01	8.21	-85.8150838749
0.0	7.86	-95.5120054731
-0.0	7.56	-89.013354863
0.0	7.25	-91.2480590087
-0.0	6.94	-88.6926580862
-0.0	6.58	-90.9273492867
-0.62	5.97	-151.389540334
-0.9	5.8	-151.389540334
-1.21	5.62	-148.240519915
-1.46	5.42	-147.983955129
-1.69	5.2	-139.08561678
-1.97	4.89	-134.422849949
-2.02	4.68	-85.3893506813
-1.34	4.31	-28.810793743
-1.0	3.7	-28.810793743
-0.74	3.16	-66.8014094864
-0.6	2.86	-64.2900462192
-0.41	2.59	-59.7827260426
-0.17	2.32	-52.234151035
0.05	2.1	-45.9601745667
-0.11	0.63	-79.9188967144
0.0	0.0	-79.9188967144
