x	y	z
6.25	14.9	66.0375110254
6.33	15.08	-127.266401901
5.32	13.82	-153.434948823
5.3	13.81	-59.0362434679
5.33	13.76	0.0
5.33	13.76	-71.5650511771
5.49	13.28	-76.8093892878
5.68	12.51	-71.5650511771
5.72	12.39	-63.4349488229
5.74	12.35	-108.434948823
5.73	12.32	-116.565051177
5.7	12.26	-110.725558866
5.56	11.89	-100.619655276
5.5	11.57	-109.358994176
5.33	11.09	-135.0
5.32	11.08	-111.801409486
5.23	10.86	-120.963756532
4.89	10.29	-100.619655276
4.79	9.71	-139.398705355
4.72	9.65	-85.601294645
4.91	8.01	-93.1798301199
4.87	7.46	-101.309932474
4.83	7.27	-106.699244234
4.8	7.17	-113.962488975
4.72	6.98	0.0
4.72	6.98	-104.036243468
4.62	6.6	-109.440034828
4.56	6.43	-99.0902769208
4.52	6.18	-158.198590514
4.47	6.16	-142.765166018
2.86	4.86	-135.0
2.72	4.72	-90.0
2.72	4.7	-84.2894068625
2.73	4.6	-101.309932474
2.72	4.55	-78.690067526
2.73	4.5	-101.309932474
2.72	4.45	-78.690067526
2.73	4.4	-101.309932474
2.72	4.35	-90.0
2.72	4.33	-129.805571092
2.67	4.27	-135.0
2.45	4.05	0.0
2.45	4.05	-135.0
1.67	3.18	-129.289406863
0.87	2.27	-135.0
0.79	2.19	-141.340191746
0.58	2.02	-135.0
0.38	1.83	-91.3169124058
0.36	0.96	-135.0
0.34	0.94	-150.945395901
-0.1	0.7	-156.037511025
-0.28	0.62	-71.0534953105
